feature,mean_abs_shap
categorical__diag_1_897,0.0
categorical__diag_1_895,0.0
categorical__diag_1_893,0.0
categorical__diag_1_892,0.0
categorical__diag_1_891,0.0
categorical__diag_1_890,0.0
categorical__diag_1_886,0.0
categorical__diag_1_885,0.0
categorical__diag_1_883,0.0
categorical__diag_1_882,0.0
categorical__diag_1_881,0.0
categorical__diag_1_880,0.0
categorical__diag_1_88,0.0
categorical__diag_1_879,0.0
categorical__diag_1_878,0.0
categorical__diag_1_875,0.0
categorical__diag_1_924,0.0
categorical__diag_1_923,0.0
categorical__diag_1_922,0.0
categorical__diag_1_921,0.0
categorical__diag_1_920,0.0
categorical__diag_1_919,0.0
categorical__diag_1_917,0.0
categorical__diag_1_916,0.0
categorical__diag_1_915,0.0
categorical__diag_1_914,0.0
categorical__diag_1_913,0.0
categorical__diag_1_911,0.0
categorical__diag_1_906,0.0
categorical__diag_1_904,0.0
categorical__diag_1_903,0.0
categorical__diag_1_9,0.0
categorical__diag_1_959,0.0
categorical__diag_1_958,0.0
categorical__diag_1_957,0.0
categorical__diag_1_955,0.0
categorical__diag_1_952,0.0
categorical__diag_1_945,0.0
categorical__diag_1_944,0.0
categorical__diag_1_942,0.0
categorical__diag_1_941,0.0
categorical__diag_1_94,0.0
categorical__diag_1_939,0.0
categorical__diag_1_936,0.0
categorical__diag_1_935,0.0
categorical__diag_1_934,0.0
categorical__diag_1_933,0.0
categorical__diag_1_928,0.0
categorical__diag_1_977,0.0
categorical__diag_1_975,0.0
categorical__diag_1_974,0.0
categorical__diag_1_973,0.0
categorical__diag_1_972,0.0
categorical__diag_1_971,0.0
categorical__diag_1_970,0.0
categorical__diag_1_97,0.0
categorical__diag_1_969,0.0
categorical__diag_1_968,0.0
categorical__diag_1_967,0.0
categorical__diag_1_966,0.0
categorical__diag_1_965,0.0
categorical__diag_1_964,0.0
categorical__diag_1_963,0.0
categorical__diag_1_962,0.0
categorical__diag_1_V43,0.0
categorical__diag_1_V26,0.0
categorical__diag_1_V25,0.0
categorical__diag_1_V07,0.0
categorical__diag_1_E909,0.0
categorical__diag_1_999,0.0
categorical__diag_1_996,0.0
categorical__diag_1_995,0.0
categorical__diag_1_992,0.0
categorical__diag_1_991,0.0
categorical__diag_1_990,0.0
categorical__diag_1_989,0.0
categorical__diag_1_987,0.0
categorical__diag_1_986,0.0
categorical__diag_1_983,0.0
categorical__diag_1_98,0.0
categorical__diag_2_112,0.0
categorical__diag_2_111,0.0
categorical__diag_2_110,0.0
categorical__diag_2_11,0.0
categorical__diag_1_V71,0.0
categorical__diag_1_V70,0.0
categorical__diag_1_V67,0.0
categorical__diag_1_V66,0.0
categorical__diag_1_V63,0.0
categorical__diag_1_V60,0.0
categorical__diag_1_V57,0.0
categorical__diag_1_V56,0.0
categorical__diag_1_V54,0.0
categorical__diag_1_V53,0.0
categorical__diag_1_V51,0.0
categorical__diag_1_V45,0.0
categorical__diag_2_155,0.0
categorical__diag_2_154,0.0
categorical__diag_2_153,0.0
categorical__diag_2_152,0.0
categorical__diag_2_151,0.0
categorical__diag_2_150,0.0
categorical__diag_2_145,0.0
categorical__diag_2_141,0.0
